Year	Value
1890	-0.3890
1891	-0.3033
1892	-0.3510
1893	-0.3890
1894	-0.3600
1895	-0.2657
1896	-0.1833
1897	-0.2019
1898	-0.2819
1899	-0.2786
1900	-0.4519
1901	-0.4786
1902	-0.4448
1903	-0.6043
1904	-0.5433
1905	-0.5529
1906	-0.5105
1907	-0.4324
1908	-0.3990
1909	-0.3329
1910	-0.3738
1911	-0.4152
1912	-0.3957
1913	-0.3729
1914	-0.3681
1915	-0.3867
1916	-0.4243
1917	-0.4152
1918	-0.3376
1919	-0.2619
1920	-0.1995
1921	-0.2433
1922	-0.1857
1923	-0.1152
1924	-0.0214
1925	-0.0638
1926	-0.0852
1927	-0.0500
1928	-0.0429
1929	-0.0219
1930	-0.0405
1931	-0.1010
1932	-0.1352
1933	-0.2071
1934	-0.1829
1935	-0.1919
1936	-0.0971
1937	-0.0790
1938	-0.0933
1939	-0.1476
1940	-0.1695
1941	-0.1662
1942	-0.1062
1943	-0.1010
1944	-0.2310
1945	-0.2486
1946	-0.3048
1947	-0.3267
1948	-0.2738
1949	-0.2390
1950	-0.2405
1951	-0.1338
1952	-0.0900
1953	-0.0776
1954	-0.0429
1955	-0.0767
1956	-0.0152
1957	0.0067
1958	0.0381
1959	-0.0029
1960	-0.0495
1961	-0.0400
1962	-0.0819
1963	-0.0043
1964	-0.0510
1965	0.0629
1966	0.0290
1967	0.0024
1968	0.1324
1969	0.0362
1970	-0.0924
1971	-0.1100
1972	-0.2367
1973	-0.2938
1974	-0.2848
1975	-0.2514
1976	-0.2529
1977	-0.2943
1978	-0.3629
1979	-0.3662
1980	-0.3352
1981	-0.2681
1982	-0.2914
1983	-0.3700
1984	-0.3629
1985	-0.3324
1986	-0.4167
1987	-0.2438
1988	-0.1486
1989	-0.2429
1990	-0.1729
1991	-0.0867
1992	-0.0752
1993	-0.1190
1994	-0.0757
1995	-0.0029
1996	-0.0486
1997	0.0100
1998	0.0748
1999	0.1043
2000	0.1267
2001	0.1419
2002	0.1957
2003	0.2167
2004	0.2995
2005	0.2105
2006	0.2371
2007	0.4233
2008	0.3271
