"Title: Number of Voters as a Share of the Voter Population, by Gender | The Henry J. Kaiser Family Foundation",,,,,,
Timeframe: November 2018,,,,,,
Location,Individuals who Voted (in thousands)__Female,Individuals who Voted (in thousands)__Male,Individuals who Voted (in thousands)__Total,Individuals who Voted as a Share of the Voter Population__Female,Individuals who Voted as a Share of the Voter Population__Male,Individuals who Voted as a Share of the Voter Population__Total
United States,65317,56964,122281,0.55,0.518,0.534
Wyoming,113,107,220,0.536,0.506,0.521
Wisconsin,1448,1328,2776,0.661,0.631,0.646
West Virginia,316,294,610,0.445,0.437,0.441
Washington,1693,1541,3234,0.642,0.595,0.619
Virginia,1742,1578,3319,0.571,0.579,0.575
Vermont,141,132,273,0.555,0.543,0.549
Utah,646,568,1214,0.605,0.546,0.576
Texas,4822,4064,8886,0.504,0.461,0.484
Tennessee,1313,1174,2487,0.499,0.492,0.496
South Dakota,170,160,331,0.535,0.503,0.519
South Carolina,1007,828,1836,0.503,0.469,0.487
Rhode Island,217,186,403,0.531,0.499,0.516
Pennsylvania,2728,2445,5173,0.552,0.539,0.546
Oregon,1006,912,1918,0.63,0.592,0.611
Oklahoma,724,626,1350,0.516,0.471,0.494
Ohio,2503,2035,4538,0.559,0.489,0.525
North Dakota,175,160,335,0.657,0.582,0.619
North Carolina,2077,1822,3899,0.526,0.521,0.524
New York,3694,3081,6775,0.515,0.473,0.495
New Mexico,387,327,715,0.503,0.458,0.481
New Jersey,1808,1577,3384,0.553,0.526,0.54
New Hampshire,296,280,576,0.571,0.553,0.562
Nevada,509,497,1006,0.497,0.477,0.487
Nebraska,362,314,676,0.533,0.481,0.508
Montana,271,247,518,0.66,0.616,0.638
Missouri,1346,1162,2509,0.57,0.528,0.55
Mississippi,650,531,1180,0.559,0.522,0.542
Minnesota,1329,1194,2523,0.652,0.607,0.63
Michigan,2346,2072,4418,0.607,0.581,0.595
Massachusetts,1451,1280,2731,0.562,0.548,0.555
Maryland,1213,1107,2320,0.543,0.541,0.542
Maine,364,329,693,0.677,0.634,0.656
Louisiana,882,774,1656,0.498,0.497,0.498
Kentucky,958,789,1746,0.565,0.508,0.538
Kansas,598,554,1152,0.572,0.565,0.569
Iowa,675,660,1335,0.595,0.597,0.596
Indiana,1249,1115,2364,0.507,0.478,0.493
Illinois,2557,2183,4740,0.552,0.506,0.53
Idaho,301,286,587,0.487,0.47,0.479
Hawaii,234,193,427,0.461,0.417,0.44
Georgia,2270,1814,4084,0.583,0.531,0.559
Florida,4270,3648,7918,0.54,0.511,0.526
District of Columbia,172,141,313,0.623,0.598,0.611
Delaware,202,167,369,0.534,0.499,0.518
Connecticut,708,662,1370,0.538,0.542,0.54
Colorado,1198,1144,2342,0.592,0.571,0.581
California,7035,6205,13240,0.538,0.498,0.519
Arkansas,488,431,919,0.434,0.417,0.426
Arizona,1512,1288,2800,0.606,0.57,0.589
Alaska,130,133,263,0.536,0.521,0.528
Alabama,1010,821,1830,0.524,0.488,0.507
,,,,,,
Notes,,,,,,
*Number of Individuals who Voted* are reported in thousands and apply to the respective election. Data may not sum to total due to rounding.,,,,,,
,,,,,,
*Voter Population* includes US citizens who are of voting age (18 years of age or older). This population may include individuals who are ineligible to vote for reasons other than lack of citizenship or who are under 18 years of age.,,,,,,
,,,,,,
"*Individuals who Voted as a Share of the Voter Population* represent voting rates by gender, rather than a distribution of voters by gender.",,,,,,
,,,,,,
Sources,,,,,,
"U.S. Census Bureau, Current Population Survey, November 2014, 2016, and 2018; [Voting and Registration Tables](https://www.census.gov/topics/public-sector/voting/data/tables.html).",,,,,,
